192.168.65.1 - - [16/Sep/2026:22:00:46 +0000] "GET /api/v1/health HTTP/1.1" 200 65 "-" "curl/8.7.1"
192.168.65.1 - - [16/Sep/2026:22:01:10 +0000] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36"
172.28.0.30 - - [16/Sep/2026:22:01:13 +0000] "GET / HTTP/1.0" 200 2264 "-" "-"
172.28.0.30 - - [16/Sep/2026:22:01:13 +0000] "GET /nmaplowercheck1789596073 HTTP/1.1" 404 153 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
172.28.0.30 - - [16/Sep/2026:22:01:13 +0000] "GET / HTTP/1.0" 200 2264 "-" "-"
172.28.0.30 - - [16/Sep/2026:22:01:13 +0000] "POST /sdk HTTP/1.1" 404 153 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
172.28.0.30 - - [16/Sep/2026:22:01:13 +0000] "GET /HNAP1 HTTP/1.1" 404 153 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
172.28.0.30 - - [16/Sep/2026:22:01:13 +0000] "GET /evox/about HTTP/1.1" 404 153 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
172.28.0.30 - - [16/Sep/2026:22:01:13 +0000] "GET / HTTP/1.0" 200 2264 "-" "-"
172.28.0.30 - - [16/Sep/2026:22:01:13 +0000] "GET / HTTP/1.1" 200 2264 "-" "-"
172.28.0.30 - - [16/Sep/2026:22:01:13 +0000] "GET / HTTP/1.1" 200 2264 "-" "curl/7.88.1"
172.28.0.30 - - [16/Sep/2026:22:01:13 +0000] "HEAD / HTTP/1.1" 200 0 "-" "curl/7.88.1"
172.28.0.30 - - [16/Sep/2026:22:01:13 +0000] "HEAD /api/v1/alerts HTTP/1.1" 200 0 "-" "curl/7.88.1"
172.28.0.30 - - [16/Sep/2026:22:01:13 +0000] "GET /api/v1/alerts HTTP/1.1" 200 3279 "-" "curl/7.88.1"
172.28.0.30 - - [16/Sep/2026:22:01:13 +0000] "GET /api/v1/alerts HTTP/1.1" 200 3279 "-" "curl/7.88.1"
172.28.0.30 - - [16/Sep/2026:22:01:13 +0000] "GET /.git/config HTTP/1.1" 200 106 "-" "curl/7.88.1"
172.28.0.30 - - [16/Sep/2026:22:01:13 +0000] "GET /.git/config HTTP/1.1" 200 106 "-" "curl/7.88.1"
172.28.0.30 - - [16/Sep/2026:22:01:13 +0000] "GET /.env HTTP/1.1" 200 62 "-" "curl/7.88.1"
172.28.0.30 - - [16/Sep/2026:22:01:13 +0000] "GET /.env HTTP/1.1" 200 62 "-" "curl/7.88.1"
172.28.0.30 - - [16/Sep/2026:22:01:13 +0000] "GET /admin HTTP/1.1" 404 153 "-" "curl/7.88.1"
172.28.0.30 - - [16/Sep/2026:22:01:13 +0000] "GET /login HTTP/1.1" 404 153 "-" "curl/7.88.1"
172.28.0.30 - - [16/Sep/2026:22:01:13 +0000] "GET /wp-login.php HTTP/1.1" 404 153 "-" "curl/7.88.1"
